SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
AND,14
NG,14
5TH,13
MGA,12
FOR,11
IN,11
DUTERTES,10
DUTERTE,10
WE,9
MY,8
PRESIDENT,8
WITH,8
COVID19,7
THIS,7
THAT,7
2020,7
NI,7
AMP;,6
A,6
I,6
MAY,6
IS,5
ON,5
UP,5
HIS,5
TAG,5
PA,5
STATE,4
SONA2020,4
FIRST,4
PRES,4
WAY,4
YUNG,4
DI,4
KA,4
THEY,4
YA,4
SI,4
KO,4
RIN,4
YOU,4
RODRIGO,4
ROA,4
STUDENT,4
FROM,3
AT,3
LANG,3
DAPAT,3
SONAGKAISA,3
GLOBE,3
ITS,3
ME,3
IF,3
ONE,3
KHARAASONA,3
ARAW,3
PRESS,3
HIM,3
WOULD,3
NAMAN,3
THA,3
LIKE,3
HER,3
OWN,3
SILA,3
CONGRESS,3
DURING,3
BEFORE,3
COUNCIL,3
RAPPLERDOTCOM:,3
EVERYONE,3
GROUPS,2
HERE,2
NATION,2
WAKASONA2020,2
MABUTI,2
HINDI,2
KUNG,2
SAAN,2
PROTESTA,2
CNNPHILIPPINES:,2
SHARES,2
TIME,2
REACT,2
YOUR,2
LA,2
PERSONA,2
QUE,2
NO,2
TE,2
WHAT,2
CLEAR,2
WAS,2
GOVERNMENTS,2
PANDEMIC,2
|,2
KATRINADOMINGO,2
GMANEWS:,2
LOOK:,2
HEALTH,2
DILIMAN,2
BE,2
WONT,2
TWEET,2
F…,2
21,2
BILLS,2
MARACEPEDA,2
CAN,2
GET,2
SAME,2
PASSAGE,2
BAYANIHAN,2
AS,2
ACT,2
WHICH,2
RESPONSE,2
AGAINST,2
WAR,2
AFTER,2
PARA,2
NEW,2
EXECUTIVE,2
POSTSONA,2
NGAYONG,2
PLEASE,2
TAYONG,2
COVERS,2
TOWERNAMBA:,2
